	clustering coefficient
YFL007W	0.3634920634920635
YDR348C	0.3076923076923077
YIR037W	0.15763546798029557
YER112W	0.20335946248600223
YER124C	0.2909090909090909
YER151C	0.08447633950250903
YLR208W	0.21035940803382663
YGL180W	0.029016986911723754
YOR056C	0.250886524822695
YBR233W	0.19852941176470587
YBR261C	0.10821256038647344
YCL028W	0.16941649899396377
YNL288W	0.16262626262626262
YFL036W	0.16176470588235295
YOR017W	0.125
YIR038C	0.07412587412587412
YDR283C	0.10223835450695705
YER172C	0.25701754385964914
YPL207W	0.3142857142857143
YPL061W	0.42592592592592593
YMR138W	0.04395604395604396
YOL056W	0.14285714285714285
YHR058C	0.532051282051282
YCR008W	0.09288824383164006
YOR224C	0.3412008281573499
YDR481C	0.36363636363636365
YNL006W	0.16733870967741934
YPL049C	0.1538961038961039
YJL129C	0.13333333333333333
YML016C	0.12698412698412698
YCR002C	0.2727272727272727
YNL233W	0.3055555555555556
YBR159W	0.07203856749311295
YIL005W	0.5
YDL028C	0.0967741935483871
YPL233W	0.25846702317290554
YGR060W	0.19844502036282857
YGR195W	0.36507936507936506
YPR105C	0.19153225806451613
YHR060W	0.1978021978021978
YLR447C	0.2766531713900135
YOR221C	0.8
YLL023C	0.21164021164021163
YPR028W	0.18234610917537747
YDR012W	0.36231884057971014
YMR194W	0.5346491228070176
YLR216C	0.16260162601626016
YDR448W	0.1467513069454817
YOR257W	0.13737373737373737
YDL019C	0.17391304347826086
YGL112C	0.16022408963585436
YNL055C	0.12016806722689076
YBR142W	0.3329824561403509
YHL022C	0.13333333333333333
YOR346W	0.15151515151515152
YAL018C	0.1388888888888889
YCL025C	0.20768136557610242
YER146W	0.22745098039215686
YKR026C	0.1285024154589372
YGR105W	0.2510822510822511
YML012W	0.1534518113465482
YGR240C	0.16177156177156177
YBL032W	0.010078429648793415
YLL031C	0.7333333333333333
YAL011W	0.2634920634920635
YLR085C	0.35177865612648224
YCL014W	0.17940199335548174
YPR161C	0.13529411764705881
YDR429C	0.37714285714285717
YGL137W	0.09424212598425197
YDR424C	0.3333333333333333
YGL153W	0.08925979680696662
YDR309C	0.24666666666666667
YCR073C	0.06896551724137931
YMR117C	0.07784743991640543
YGR181W	0.23809523809523808
YJR135W-A	0.4666666666666667
YDL190C	0.2
YEL043W	0.23902439024390243
YOR075W	0.3660130718954248
YER088C	0.28888888888888886
YIL084C	0.27635327635327633
YDR059C	0.3142857142857143
YPL037C	0.252361673414305
YIL075C	0.2727927927927928
YOL117W	0.1981981981981982
YGL130W	0.2830687830687831
